hsa-let-7b-5p,hsa-let-7d-5p,hsa-let-7e-5p,hsa-let-7g-5p,hsa-let-7i-5p,hsa-miR-100-5p,hsa-miR-106a-5p,hsa-miR-106b-5p,hsa-miR-107,hsa-miR-10a-5p,hsa-miR-10b-5p,hsa-miR-1228-3p,hsa-miR-1248,hsa-miR-1254,hsa-miR-1255a,hsa-miR-1258,hsa-miR-125a-5p,hsa-miR-126-3p,hsa-miR-1262,hsa-miR-127-3p,hsa-miR-1271-5p,hsa-miR-128-2,hsa-miR-1291,hsa-miR-1294,hsa-miR-130a-3p,hsa-miR-130b-3p,hsa-miR-132-3p,hsa-miR-133b,hsa-miR-135b-5p,hsa-miR-136-5p,hsa-miR-140-5p,hsa-miR-141-3p,hsa-miR-143-3p,hsa-miR-144-3p,hsa-miR-145-5p,hsa-miR-146a-5p,hsa-miR-146b-5p,hsa-miR-147b,hsa-miR-148a-3p,hsa-miR-148b-3p,hsa-miR-149-5p,hsa-miR-150-5p,hsa-miR-151a-3p,hsa-miR-152,hsa-miR-154-5p,hsa-miR-155-5p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-16-5p,hsa-miR-17-5p,hsa-miR-181c-5p,hsa-miR-182-5p,hsa-miR-183-5p,hsa-miR-184,hsa-miR-185-5p,hsa-miR-186-5p,hsa-miR-187-3p,hsa-miR-188-5p,hsa-miR-18a-5p,hsa-miR-18b-5p,hsa-miR-190a,hsa-miR-190b,hsa-miR-191-5p,hsa-miR-192-5p,hsa-miR-193a-3p,hsa-miR-193b-3p,hsa-miR-195-5p,hsa-miR-196b-5p,hsa-miR-197-3p,hsa-miR-1976,hsa-miR-199b-5p,hsa-miR-19a-3p,hsa-miR-200a-3p,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-202-3p,hsa-miR-204-5p,hsa-miR-205-5p,hsa-miR-206,hsa-miR-20a-5p,hsa-miR-20b-5p,hsa-miR-21-5p,hsa-miR-2110,hsa-miR-212-3p,hsa-miR-214-3p,hsa-miR-215,hsa-miR-217,hsa-miR-22-3p,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-223-3p,hsa-miR-224-5p,hsa-miR-23a-3p,hsa-miR-23b-3p,hsa-miR-23c,hsa-miR-25-3p,hsa-miR-26b-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-28-5p,hsa-miR-296-5p,hsa-miR-29a-3p,hsa-miR-29c-3p,hsa-miR-301a-3p,hsa-miR-301b,hsa-miR-30a-5p,hsa-miR-30b-5p,hsa-miR-30d-5p,hsa-miR-30e-5p,hsa-miR-31-5p,hsa-miR-3170,hsa-miR-3193,hsa-miR-32-5p,hsa-miR-320a,hsa-miR-320e,hsa-miR-326,hsa-miR-328,hsa-miR-330-3p,hsa-miR-331-3p,hsa-miR-335-5p,hsa-miR-339-5p,hsa-miR-33a-5p,hsa-miR-33b-5p,hsa-miR-340-5p,hsa-miR-342-3p,hsa-miR-345-5p,hsa-miR-346,hsa-miR-34a-5p,hsa-miR-34b-3p,hsa-miR-34c,hsa-miR-361-5p,hsa-miR-3615,hsa-miR-362-5p,hsa-miR-363-3p,hsa-miR-3648,hsa-miR-3651,hsa-miR-3652,hsa-miR-3687,hsa-miR-3690,hsa-miR-370,hsa-miR-372,hsa-miR-374a-5p,hsa-miR-374b-5p,hsa-miR-375,hsa-miR-378a-3p,hsa-miR-378c,hsa-miR-379-5p,hsa-miR-382-5p,hsa-miR-3909,hsa-miR-3917,hsa-miR-3941,hsa-miR-411-5p,hsa-miR-412,hsa-miR-421,hsa-miR-423-3p,hsa-miR-424-5p,hsa-miR-425-5p,hsa-miR-429,hsa-miR-431-5p,hsa-miR-432-5p,hsa-miR-4326,hsa-miR-433,hsa-miR-449a,hsa-miR-451a,hsa-miR-452-5p,hsa-miR-454-3p,hsa-miR-483-3p,hsa-miR-484,hsa-miR-486-5p,hsa-miR-491-5p,hsa-miR-493-3p,hsa-miR-494,hsa-miR-496,hsa-miR-497-5p,hsa-miR-502-5p,hsa-miR-505-3p,hsa-miR-517a-3p,hsa-miR-517b-3p,hsa-miR-518b,hsa-miR-532-5p,hsa-miR-543,hsa-miR-545-3p,hsa-miR-548e,hsa-miR-548q,hsa-miR-548s,hsa-miR-548v,hsa-miR-551a,hsa-miR-551b-3p,hsa-miR-570-3p,hsa-miR-574-3p,hsa-miR-577,hsa-miR-581,hsa-miR-582-5p,hsa-miR-584-5p,hsa-miR-590-5p,hsa-miR-592,hsa-miR-605,hsa-miR-607,hsa-miR-618,hsa-miR-625-5p,hsa-miR-628-3p,hsa-miR-629-5p,hsa-miR-636,hsa-miR-639,hsa-miR-643,hsa-miR-652-3p,hsa-miR-659-3p,hsa-miR-660-5p,hsa-miR-665,hsa-miR-671-5p,hsa-miR-675-5p,hsa-miR-708,hsa-miR-7-5p,hsa-miR-744-5p,hsa-miR-760,hsa-miR-766-3p,hsa-miR-877-5p,hsa-miR-92b-3p,hsa-miR-93-5p,hsa-miR-935,hsa-miR-940,hsa-miR-942,hsa-miR-944,hsa-miR-96-5p,hsa-miR-99a-5p,hsa-miR-99b-5p
16.059554,9.025583,10.700509,10.001064,9.253097,0.997124,2.533177,3.629392,7.653906,9.727424,14.626959,0.260158,0.324804,0.324804,2.324802,0.9991921,10.440897,12.096209,2.324802,9.756347,1.482551,5.778484,2.324802,1.324806,4.773228,3.904015,6.088824,0.3152025,1.923124,5.134628,7.941983,11.344303,15.715325,3.067513,10.894818,6.194832,7.258279,1.324806,17.908858,9.604824,8.578325,6.028343,10.651581,7.982397,3.582087,6.937291,6.597037,8.257338,8.934939,7.200717,6.557839,13.310744,11.389978,5.908816,5.809622,8.503333,1.375636,2.482551,0.997124,2.324802,2.71959,6.694787,10.912854,10.004151,8.654621,8.366067,6.588085,8.738591,7.899198,2.629392,11.877396,2.884649,10.094103,10.105126,13.212869,1.324806,0.482551,12.47852,0.742401857,5.533177,4.913601,16.630045,2.134628,1.375636,5.067513,2.067513,1.997124,15.25058,5.463099,4.960598,6.041518,2.762659,12.064491,9.487373,1.5663078,11.177904,10.631935,10.470627,9.008351,11.749923,4.913601,10.782413,11.234693,2.198758,0.002875,17.167871,9.850746,11.527433,13.849673,2.762659,1.675196,2.324802,5.319052,8.810905,1.074106,6.260159,5.773228,5.416663,7.132577,5.252625,4.865021,4.570014,3.067513,4.675196,11.542185,5.932584,2.324802,7.030547,4.941983,6.749337,8.201695,1.482551,3.260158,4.969817,0.739842,7.602974,2.324802,2.324802,2.324802,3.582087,0.739842,8.61404,5.64098,13.709823,5.824943,2.324802,8.799317,5.150929,0.260158,0.324804,2.324802,2.319052,0.324804,0.739842,7.403116,7.461466,7.359945,7.425065,2.260158,2.067513,1.997124,2.324802,2.324802,6.322654,2.675196,2.997124,3.430084,8.328937,5.050235,2.482551,4.289906,1.482551,1.134628,6.382555,3.675196,4.375636,2.324802,2.324802,1.751683,9.173547,1.375636,0.260158,1.324806,1.227311333,1.313829286,0.675196,1.359819714,0.997124,2.324802,8.454094,0.482551,0.739842,6.807053,3.804479,5.396295,1.997124,0.739842,0.739842,2.0248032,8.102509,6.071801,6.495375,1.324806,2.324802,0.739842,4.904015,1.375636,4.874868,0.037715889,3.319052,5.469612,6.459831,2.324802,7.076075,1.845121,4.067513,0.324804,9.488977,10.064827,2.260158,2.629392,0.260158,0.997124,4.245052,8.975549,14.529029
15.142709,9.8825,9.610335,8.819031,9.142656,0.146606,2.912141,4.091464,9.181405,10.658754,13.697473,1.072605,0.59036,0.367966,1.175322,1.175322,9.962309,12.487291,1.590358,10.330489,1.216996,6.171192,3.468534,1.175322,4.424591,5.077343,6.121594,1.16800475,0.005397,4.885374,8.523817,10.482666,15.055088,2.974425,10.747355,4.953961,6.918756,1.525118,15.115259,8.345788,9.249369,7.152231,11.953921,8.495334,2.682659,7.177825,6.704261,7.510303,8.815136,7.98581,5.482889,14.730911,13.931404,5.072605,6.379267,7.611764,10.609722,2.953961,2.468534,0.525118,1.579565,0.824678,11.183604,9.819738,9.589135,7.460396,4.599465,9.733821,7.941672,3.18223,12.165571,3.394533,10.551854,9.887567,12.471602,0.3016956,0.59036,11.117862,0.316989286,6.197543,5.961669,18.446403,1.28411,1.953961,5.398325,2.824678,4.199717,16.384245,6.208382,4.885374,4.824678,2.890767,12.502177,9.836429,2.175325,12.923121,9.264768,10.73981,9.621529,12.325955,2.953961,10.335566,10.508659,6.234069,1.994603,12.618611,9.186073,11.966386,13.518206,1.579565,3.332473,1.175322,4.592862,9.054398,1.590358,6.889421,6.259306,6.046265,6.231946,4.901493,5.155595,6.01203,5.155595,3.731569,7.148858,5.538923,3.175325,7.97823,1.216996,2.869072,8.792625,4.606038,2.755415,4.796221,2.316531,5.586229,0.175322,0.146606,3.175325,3.592862,2.175325,10.1296,6.296353,16.310548,6.261389,0.853394,9.241212,4.755415,1.216996,0.912141,0.59036,2.40964,3.790462,1.731569,7.91015,5.058298,9.158951,7.12503,3.813363,2.933202,4.119299,0.409641,1.525118,4.824678,3.234069,4.497103,2.869072,6.519906,4.225557,2.682659,4.014502,0.146606,0.994603,5.312518,3.482889,5.36771,1.38284,1.38284,1.7536186,9.049584,0.731568,0.853394,2.175325,1.1781625,0.175322,1.175322,0.59036,0.525118,0.853394,6.525118,2.175325,0.284109,8.100802,5.26347,4.004587,4.38692,0.632033,3.175325,3.175325,9.666832,5.545777,8.240948,0.994603,3.175325,1.590358,6.910814,2.28411,3.813363,0.525118,4.38692,6.065469,6.253038,1.590358,5.246743,4.324524,2.606038,0.912141,7.115849,11.253169,3.87996,2.890767,3.813363,1.869072,4.773045,8.391683,16.394647
15.558201,8.896941,10.239424,9.027585,9.835055,2.191198,2.128463,2.94039,9.386898,11.415611,14.460474,1.096041,0.724072,2.308739556,2.36339,2.280466,9.557893,11.665206,1.36339,10.745052,0.884537,6.456789,0.193465,1.36339,5.500796,3.236522,7.190239,1.778427,1.806535,3.93123,10.360804,10.589897,16.274934,4.475813,10.130965,8.521162,9.313889,2.61389,14.659833,8.554355,8.905152,12.779415,11.724984,8.224856,2.251319,10.403242,6.833826,7.11639,8.781268,8.653418,7.529152,14.412246,12.338376,9.67244,5.819004,7.431838,1.096041,0.443964,2.391497,0.778427,1.221572,3.378077,10.254766,8.513127,8.257288,4.500796,6.15821,6.846063,7.440741,3.958538,11.844958,2.806535,9.896941,9.248096,13.404923,1.096041,2.724072,10.466927,0.636609,7.415508,4.191199,17.740842,1.221572,2.745134,4.791428,1.221572,3.144404,16.010753,8.865428,5.991961,7.960227,2.36453,11.553282,9.423696,1.778427,13.735372,9.436903,10.084984,9.615499,12.699246,0.724072,13.161427,12.123539,1.681004,1.778427,16.291223,8.841486,12.641488,14.402058,3.417969,0.041462,0.778427,4.647837,9.381233,2.36339,6.301946,4.602394,6.4821,4.826434,6.114368,5.128463,2.128463,0.884537,3.903396,8.334012,2.590806,3.36339,7.421245,0.958538,4.771036,9.955294,1.922012,3.011649,4.801517,0.443964,3.519253,0.193465,1.36339,1.590806,3.494591,1.041462,9.908364,6.414687,11.0884,6.317848,0.806534,10.367717,4.865428,1.36339,0.443964,1.778427,3.011649,3.691892,0.636609,8.091937,6.532942,8.543876,5.980906,3.691892,3.579124,1.160172,1.280466,4.062874,6.445574,4.337049,1.922012,3.350855,4.94039,4.93123,1.391497,3.079553,0.041462,1.280466,5.625294,3.816519,4.630963,3.36339,3.36339,2.36339,10.037356,0.778427,3.36339,0.041462,3.36339,0.556035,0.556035,1.717414222,0.443964,3.36339,5.889275,1.5435,3.36339,5.96079,6.096041,3.206465,0.221573,3.36339,0.041462,1.041462,8.047061,2.994162,7.720754,1.7557083,2.36339,0.36339,6.424512,0.806534,5.374702,3.36339,3.206465,4.128463,5.485233,2.36339,5.401481,0.884537,3.236522,0.193465,6.990859,11.314329,1.096041,1.280466,2.846063,4.831367,3.128463,10.902957,14.83979
15.313541,8.553214,10.112171,8.762028,9.885295,1.381469,0.922037,2.622477,7.729392,10.13757,14.954643,1.077964,2.077961,1.851538,2.077961,0.507,10.244529,11.453784,0.507,10.677759,2.445599,5.188824,1.077964,1.482258143,6.488091,4.279589,5.998853,1.077964,2.876233,6.401817,9.046159,8.943017,15.539849,4.780018,10.010825,6.0095,8.570395,0.922037,16.137452,8.887821,5.858675,8.665189,10.555487,9.537207,2.729392,7.740619,5.773786,6.165211,7.98678,7.854252,7.099457,13.398625,11.45634,2.565893,5.437737,7.827424,2.169965,1.091962,0.507,0.583384333,1.506999,4.8409,8.750174,9.972566,8.419889,6.491893,5.48428,9.895017,7.457313,3.314355,13.547432,3.41389,8.446579,8.017434,10.984252,0.729392,1.506999,11.457313,0.931082333,6.327179,4.476626,18.367084,0.507,0.077964,5.636283,2.876233,2.876233,16.331105,5.67023,4.663504,5.683588,3.381469,11.91904,9.712386,1.077964,11.816666,9.118024,9.87587,9.482848,11.493908,2.676925,11.408495,10.952704,2.780018,0.507,14.694816,7.619005,11.253934,13.943494,2.381469,0.729392,0.493,4.111862,7.88059,2.077961,5.437737,6.004186,5.364981,5.305741,6.703397,4.507,3.565893,1.622477,4.348302,6.417892,2.622477,1.18172225,6.488091,5.322917,7.248467,9.103189,1.243965,1.922037,4.364981,1.381469,4.729392,2.077961,0.493,0.493,3.988126,2.077961,9.510283,4.580249,14.88587,6.106913,2.077961,9.891424,5.491893,1.077964,0.148695444,2.077961,2.622477,0.507,1.622477,7.381469,7.006846,5.476626,4.887821,3.754927,2.780018,1.506999,0.493,0.493,6.465069,4.150856,3.507,4.331428,5.988126,5.331428,1.922037,4.41389,1.091962,1.506999,5.261887,2.243965,3.876234,1.077964,1.077964,2.077961,8.826672,0.493,2.077961,2.077961,1.744628667,1.36097,1.506999,2.077961,2.169965,2.077961,7.124161,0.077964,0.493,5.982733,4.551394,3.169965,0.922037,0.706868222,1.649390857,0.493,8.41389,3.852775,6.958211,2.077961,0.493,0.077964,4.348302,0.243965,4.507,0.493,2.507,6.348302,4.207439,1.708680857,5.70994,0.243965,3.507,0.243965,8.018752,10.314086,0.243965,1.506999,1.506999,1.506999,3.131491,10.451468,15.0679
14.855564,8.356288,9.990404,8.674006,9.763542,1.60331,2.117883,4.935506,8.953302,10.6324,17.718133,0.619082,0.619082,0.619082,1.7040455,0.60331,10.343091,10.962118,0.204045,10.136918,1.255387,5.696822,1.204044,2.204047,5.778949,3.795955,6.22222,2.204047,0.380918,5.365811,8.591995,10.524301,15.214631,5.635159,9.749424,6.534047,9.28881,0.96588,14.431645,8.028376,6.170995,9.307214,10.600893,7.632005,2.702846,8.725213,7.269661,7.617729,9.165552,8.684698,6.380918,15.493669,13.587271,4.46838,5.335114,7.238899,4.024774,1.117883,2.255387,0.795955,2.043883,2.925238,9.203223,8.455059,7.80858,7.135805,5.622504,8.088277,6.912299,3.043883,12.354794,4.170995,9.813459,9.140806,13.164803,0.380918,0.204045,11.267376,2.204047,7.565793,6.990712,17.950965,0.204045,1.380918,5.024774,0.380918,3.577315,15.585661,5.767499,4.818323,6.47895,1.60331,11.506008,10.116192,1.4870528,13.42662,9.418922,9.236305,9.460402,11.939896,1.60331,11.227453,9.526425,2.117883,2.204047,14.970159,7.993172,12.210905,13.599355,2.188272,0.619082,1.773219,3.350544,9.559997,1.204044,5.311655,5.090576,5.213808,5.43258,5.628845,4.410665,2.319517,0.795955,4.30375,7.914896,3.081357,1.887054,6.335114,1.702846,3.653936,8.833502,2.043883,2.043883,7.430766,0.204045,5.395868,1.204044,2.204047,0.117884,3.22222,0.5886812,9.052753,5.247166,13.156528,5.920076,1.204044,9.164462,4.73847,1.204044,1.795955,2.204047,2.439811,0.60331,0.60331,6.94824,6.821095,7.916193,5.30375,3.653936,3.081357,1.96588,1.204044,8.01875,7.088277,3.005408,2.883418,2.439811,7.12911,6.081357,0.204045,3.862044,0.60331,1.496395,5.523876,2.319517,4.335114,0.380918,0.380918,0.455403167,8.693801,0.204045,2.204047,1.95404625,1.632616714,2.204047,0.619082,1.465484714,1.255387,2.204047,6.072079,0.1165651,2.204047,5.622504,4.188272,2.795955,0.204045,1.557805,1.204044,1.2226672,7.000526,4.773235,5.960862,1.465485143,0.619082,0.619082,5.380918,0.619082,4.081357,2.204047,2.750151,4.60331,4.925238,2.204047,4.564139,0.117884,2.795955,1.204044,8.845123,12.345559,2.204047,1.795955,1.255387,1.204044,4.496395,9.959919,15.117769
13.977764,9.24773,9.808278,9.730208,10.626104,2.502673,3.239638,4.323702,9.693156,11.051366,13.836126,1.765707,0.595781,1.404218,0.595781,2.180744,9.937301,13.402684,0.91771,10.89785,2.843709,5.834187,0.180745,0.904218167,6.800353,4.745529,6.834187,1.404218,2.502673,5.862568,9.804016,9.881184,15.044285,5.584467,11.275042,8.691179,9.90469,0.180745,16.948476,9.210492,9.262893,12.670843,10.796067,8.478425,3.683245,10.034054,6.755653,7.508671,9.383684,8.516135,5.640176,15.489546,14.623602,5.087635,5.935632,8.560123,9.29101,2.403137,2.765707,0.180745,1.91771,1.91771,10.766959,10.377142,9.808886,7.549978,5.735333,8.390198,9.193834,4.087635,13.254942,4.022047,10.318163,9.102585,12.334296,2.180744,1.91771,10.821592,0.140991556,6.677931,5.502672,17.285132,1.180744,2.988099,5.403137,2.403137,3.350669,16.340156,7.134941,6.195695,8.239638,4.595782,12.204845,10.086633,1.034937571,13.049824,10.494383,10.463833,9.60631,12.257449,2.055213,12.561296,10.685232,4.640176,1.765707,15.120584,8.758173,11.729887,14.750224,3.403137,1.180744,1.404218,5.150371,8.897278,0.180745,7.441272,6.871906,6.103577,5.94451,6.127163,6.119344,4.239638,2.988099,5.890403,8.896134,4.745529,1.404218,7.631956,1.765707,2.765707,9.375501,2.502673,3.843709,5.573062,2.296222,5.755653,0.404218,0.595781,1.404218,3.725065,0.180745,10.009939,6.434986,14.72585,7.998794,0.91771,9.719257,4.988099,1.404218,1.404218,1.404218,2.683245,3.055214,2.055213,7.904121,8.221491,9.673265,7.292749,3.595782,2.843709,1.403137,0.595781,5.538296,7.669923,5.478425,3.119344,2.988099,6.881184,6.055214,1.595782,3.640176,0.91771,1.765707,5.775691,4.055214,6.69907,0.90421825,0.90421825,0.823736,9.754392,0.595781,0.180745,1.404218,0.595781,1.404218,1.180744,0.823736,3.640176,1.404218,8.193834,1.595782,0.595781,7.881184,6.383684,4.526519,1.91771,1.404218,1.404218,1.070884833,7.904121,6.81495,6.970821,1.404218,0.180745,0.180745,6.071515,1.91771,5.239638,0.1457219,3.119344,6.640176,5.350669,1.404218,6.607009,0.404218,5.239638,2.502673,6.829402,11.643076,0.595781,4.323702,3.239638,0.180745,5.296222,11.14773,16.153455
14.91915,8.887592,10.324401,9.906513,9.135698,2.791259,2.006988,3.98681,8.227232,10.267516,17.354329,0.577974,1.162938,2.162938,2.162938,0.577974,10.459115,12.675971,2.162938,8.624966,2.006988,5.328916,0.354295625,1.162938,5.056232,4.406919,6.644418,1.162938,2.006988,4.280007,8.852478,10.880945,15.945368,3.924526,11.812553,6.395484,8.181359,0.162937,17.189255,8.876668,9.160118,7.722759,10.691347,7.628226,2.966346,7.304669,7.46824,7.98554,9.437441,8.050167,5.502399,16.049175,14.799914,4.026888,5.149946,8.345848,3.537503,0.644417,1.537503,0.577974,1.837063,5.551309,11.115222,9.059254,9.087361,7.728847,5.695044,8.22508,7.673113,2.591951,11.494828,3.22938,10.326409,10.371852,14.01705,0.158991,2.695044,14.64904,0.576443111,6.391652,5.280006,16.136021,1.837063,1.537503,4.564983,0.422025,3.7678,15.931352,6.084991,5.59195,6.403117,4.564983,12.423727,9.511697,1.01669725,11.910117,10.748642,10.416143,8.627411,11.42765,2.006988,11.441964,9.508604,3.391652,0.162937,15.732058,8.500621,11.774161,13.420263,1.158991,0.158991,1.2459454,4.551308,7.961184,2.162938,4.881457,5.122465,4.945587,6.831416,7.108526,5.254916,3.391652,3.122465,4.57853,10.757788,5.598614,1.829604667,6.61185,1.158991,1.837063,8.222925,1.644418,1.837063,5.320879,0.162937,7.950805,1.8398175,1.996271333,2.162938,2.006988,1.732110833,8.596119,6.455449,14.136217,6.275855,1.162938,8.088545,4.360625,0.422025,1.122696625,1.2459454,1.422026,1.162938,0.644417,7.212102,7.73793,7.892345,7.80573,1.537503,2.837063,2.0750528,0.3594649,1.743954,6.695044,3.859431,3.618423,1.422026,7.350791,4.657242,1.743954,3.695044,2.422025,0.158991,6.080237,1.837063,5.10385,2.162938,2.162938,1.467950167,8.20884,1.422026,0.577974,0.422025,1.232110833,0.516697,0.422025,0.769382429,1.158991,1.162938,7.953407,1.162938,1.162938,6.817203,4.360625,4.802847,4.212102,0.577974,2.162938,2.162938,8.545285,5.701249,7.580214,0.7289528,2.162938,0.158991,3.743954,0.644417,3.537503,2.162938,3.480919,4.263328,5.881457,0.577974,6.176913,0.644417,3.743954,1.162938,7.070683,11.172174,0.162937,1.158991,1.296494,0.158991,6.996934,9.058046,14.674888
13.802771,8.246229,11.834758,9.760803,9.399048,1.780663,3.304225,3.825057,8.393531,10.705104,15.67164,0.365625,0.219337,0.707199571,0.886003667,0.780663,11.129668,11.419325,1.219337,10.418193,1.950588,5.138215,0.006582375,1.219337,8.496625,3.638644,5.7114,1.219337,2.240094,5.52213,7.920214,10.39813,15.522143,3.365625,9.77643,7.107092,8.895707,0.365625,16.974448,9.485431,9.525497,9.489747,10.733768,8.196405,3.102591,9.127177,6.894405,7.568565,9.343859,8.684545,6.852125,15.672281,14.426124,2.687553,4.889187,8.35431,0.219337,1.365625,1.780663,0.079725714,2.588018,4.825057,11.74951,7.562023,8.68605,7.223606,6.164367,9.160041,8.834589,3.102591,12.768637,3.102591,8.994982,8.433508,12.896276,0.780663,2.481103,14.67586,0.0683598,6.723177,3.102591,16.966971,0.365625,0.780663,5.980335,0.219337,3.102591,15.692769,5.878695,5.613553,6.740665,6.780663,11.163017,11.295377,0.3230965,11.885589,10.782071,10.183675,11.076719,11.075858,2.780663,12.06433,9.108216,4.588018,1.219337,15.437786,9.567749,12.124959,14.268848,3.588018,1.588018,0.3853522,4.970488,9.068375,0.621843333,5.481103,7.339084,4.950588,6.488022,8.382434,5.304225,4.734859,3.909946,4.7114,8.252338,6.53555,0.162695667,6.693552,0.365625,2.365625,8.775016,1.588018,2.365625,3.687554,1.291597889,6.350519,0.365625,0.191016333,0.386003667,3.17298,0.219337,8.300299,5.41002,13.621687,4.613553,0.219337,9.181542,5.350519,1.219337,0.780663,0.357683,2.481103,0.219337,1.102591,7.666359,10.699526,9.348619,6.41002,3.17298,1.588018,2.102591,1.219337,3.868126,6.319822,5.675481,4.206928,1.588018,7.92277,3.365625,2.780663,4.970488,2.240094,1.015023,6.075284,2.780663,5.575079,3.102591,3.102591,2.102591,8.13381,0.219337,0.3549514,0.7023446,1.219337,0.886003667,1.219337,1.219337,1.950588,1.219337,7.672447,0.520860333,0.219337,5.365625,4.102591,3.638644,1.365625,0.386003667,0.707199571,0.365625,7.488022,5.288458,5.438874,0.886003667,1.219337,1.219337,5.424519,0.780663,3.734859,0.219337,3.909946,4.93041,4.335252,1.219337,5.575079,2.102591,3.687554,3.17298,7.581563,11.065487,1.219337,4.304225,0.219337,1.102591,5.846752,9.800254,15.521774
14.681922,10.321226,10.069658,9.133161,10.06025,0.688837,3.627436,4.496191,9.612659,10.901941,12.22961,1.425802,0.896125,0.103874,3.961855,0.896125,10.72501,11.52199,0.688837,10.049318,2.563306,6.521726,0.300421714,0.896125,4.986517,5.703787,5.461426,0.103874,9.110901,5.831794,10.883183,10.685545,14.196631,2.911229,8.288749,8.513265,9.903156,3.191337,17.073648,9.698198,5.974239,10.487038,12.55057,8.500479,2.425802,10.018259,6.838583,7.868745,9.86043,8.955623,6.831794,13.538893,12.254415,5.169963,6.148268,9.688836,5.658463,3.425802,2.911229,1.103874,2.804314,0.896125,9.315762,8.37066,9.865425,7.500479,4.688836,7.248532,9.795617,5.148268,13.005306,4.233157,10.598229,9.80518,12.871438,0.17699475,0.896125,7.711204,0.964395625,6.546817,5.034611,17.565365,1.911229,2.688836,4.010764,1.688837,2.425802,15.837591,8.565353,7.347048,7.513265,7.465818,11.846604,10.047854,0.103874,12.982021,9.169963,10.05443,9.145533,12.48244,1.103874,12.346304,10.258692,5.831794,1.688837,16.406441,9.743215,13.457228,14.785277,4.273799,2.911229,0.0653456,5.872058,8.220218,0.7378592,7.086867,9.129013,6.470196,7.546817,2.804314,4.313327,5.332693,3.804314,5.010764,8.733231,4.885234,0.64612525,7.542666,1.103874,3.191337,9.613649,2.563306,3.351801,4.05807,4.425802,5.762085,1.375642,1.103874,2.103874,2.563306,0.35387425,9.917655,6.571479,11.738685,6.650768,1.911229,8.117894,4.233157,0.727634571,0.103874,0.896125,0.896125,1.911229,2.563306,8.920858,7.081154,6.804314,7.393893,3.010764,2.103874,4.831794,0.688837,1.252119111,3.858761,8.112303,4.233157,0.688837,7.434791,3.563305,1.911229,2.688836,0.688837,0.497275125,3.961855,4.273799,8.398495,0.688837,0.688837,2.273799,10.065324,0.896125,1.911229,0.896125,0.2961254,1.911229,2.103874,0.103874,0.103874,0.713578556,7.952497,6.961855,1.103874,6.546817,9.473471,5.872058,3.496191,0.103874,0.452866429,0.389588714,7.439264,8.848708,6.89829,0.688837,0.103874,0.688837,6.332693,2.688836,5.212398,0.896125,3.191337,5.010764,5.818119,0.688837,5.718584,2.911229,3.688836,2.273799,8.301091,11.539023,0.103874,3.74773,4.776299,2.103874,3.911229,9.935973,17.480915
15.247852,8.724795,10.39081,8.943314,10.011486,2.503691,1.181763,2.404155,8.661543,10.245607,15.131787,0.0107179,0.4032,0.4032,0.736532167,1.918729,10.892856,12.323551,0.596801,10.279356,1.766725,5.226157,1.596801,1.403198,7.521613,2.503691,6.527538,0.574498778,1.918729,4.120362,10.637775,8.400931,17.254907,6.358352,12.951876,6.135959,8.260359,0.041545,14.825976,7.781676,7.170448,9.744641,10.922949,8.298973,3.120362,6.50969,5.283301,6.039744,7.497667,8.505193,6.351688,12.390505,10.516036,0.918729,4.503691,8.366638,2.404155,1.403198,2.29724,1.403198,1.404155,0.596801,8.652083,7.218852,9.262136,6.204131,6.99768,8.267457,8.467165,2.181763,12.118892,2.056232,7.854188,7.980505,12.456141,0.596801,5.608028,13.566277,1.403198,7.21151,3.120362,14.791076,1.181763,1.404155,5.135959,2.404155,3.351688,15.701379,7.207825,5.97184,7.813546,5.515664,11.84621,9.918729,1.403198,12.702218,9.396891,9.266571,9.389591,12.581575,2.503691,12.627554,10.245607,1.404155,0.40319925,16.189732,8.801372,12.891278,14.116406,2.766726,0.4032,0.596801,0.918729,9.832216,0.4032,7.371588,7.052128,4.806254,4.454781,7.120362,4.641195,2.056232,0.4032,2.844728,7.338267,3.120362,1.403198,7.503691,1.766725,3.5968,9.090656,0.918729,2.5968,3.641195,0.181763,6.255012,1.403198,1.403198,0.8031986,3.29724,0.4032,7.828022,5.151389,12.673783,7.813546,0.596801,9.756672,4.151389,1.2031984,1.403198,1.403198,2.844728,2.989118,0.596801,7.539315,6.006191,6.159043,4.056232,3.989118,3.454781,1.596801,0.918729,0.736532167,8.843541,6.391216,1.918729,4.882203,5.882203,8.471782,2.5968,1.918729,1.404155,1.181763,7.286798,2.29724,5.391216,1.403198,1.403198,1.403198,9.278039,1.404155,1.2031984,0.90319825,1.403198,0.8031986,0.181763,1.403198,2.684263,1.403198,7.200427,2.404155,1.403198,6.023065,6.448549,1.596801,0.4710061,1.403198,1.403198,1.403198,7.355024,1.918729,6.014653,1.403198,0.688913286,1.403198,5.196713,0.596801,4.181763,0.181763,2.5968,6.630223,4.37816,1.403198,5.608028,0.4032,2.5968,0.4032,6.048012,10.94912,1.403198,0.918729,0.596801,2.404155,1.404155,12.391825,15.024752
